        Sim_Code  PCR_Mass   Lab  NShows  PCR_EMin  PCR_EMax  PCR_ThMin  PCR_ThMax  Det_S
0  Corsika-77500         1  BUAP    1000         9        11          0         25    1.0
       iClst  nShow  NPart         CCode  sCCode  NGam  NEle  NMu  ftP_ID  ltP_ID         dXm         dYm         dRm         sRm           Tmin          dT             Tm            sT          Px         Py          Pz         Ene      Theta     sTheta        Phi         dE/dS         dE/dT        dE/dTS    Thermy
1509    39.0   14.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     2.0 -153.026557 -296.543664  333.699374  377.314259   57409.157184    0.050212   57409.182290  3.550543e-02   -0.326466   0.267839    1.120701    1.197632  20.646262  11.229097 -39.366171  8.412344e-06  3.373191e+01  2.369379e-04  0.208098
1520    50.0   14.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0   81.303422   73.403735  109.537002  746.981849   57517.785892    4.853291   57520.212537  3.431795e+00   -0.548903   0.531472    1.439269    1.630157  27.961719  16.154753 -44.075700  2.921522e-06  4.750159e-01  8.513106e-07  0.315006
1525    55.0   14.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0  221.211855 -166.338780  276.772966   16.657330   57413.117451    0.005297   57413.120099  3.745757e-03   -0.122617   0.080583    0.410934    0.436345  19.649385   4.783643 -33.312356  1.572603e-03  1.165215e+02  4.199478e-01  0.088550
1533    63.0   14.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     2.0     1.0   47.749981   63.255366   79.254665  279.416988   57417.604298    0.017422   57417.613009  1.231936e-02   -0.140934   0.081613    0.436216    0.465643  20.472862   2.596089 -30.074608  5.964131e-06  3.780070e+01  4.841659e-04  0.048349
1540    70.0   14.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0 -219.376378 -288.520642  362.450212  272.812536   57490.074027    0.016165   57490.082109  1.143005e-02   -0.468817   0.287964    1.126234    1.253443  26.036650  16.468227 -31.559767  1.684131e-05  1.096717e+02  1.473554e-03  0.315503
1544    74.0   14.0    5.0  5.000000e+00     1.0   5.0   0.0  0.0     1.0     1.0  -59.996207 -125.171235  138.806999  413.898532   57482.412836    0.049196   57482.435706  2.157747e-02   -0.338367   0.204020    0.841339    0.929499  25.156004   2.914926 -31.088119  5.425769e-06  4.307930e+01  2.514669e-04  0.056182
1546    76.0   14.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0  -32.412961  224.694860  227.020660  585.028026   57481.668548    0.043405   57481.690251  3.069163e-02   -0.567074   0.340486    1.412227    1.559452  25.096842  15.897160 -30.981690  4.556367e-06  5.081200e+01  1.484612e-04  0.302467
1551    81.0   14.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -104.070110   18.394191  105.683178  533.206441   57480.445458    0.013050   57480.451984  9.228047e-03   -0.271738   0.164537    0.682444    0.752758  24.961430   4.790433 -31.194896  2.647674e-06  8.158166e+01  2.869471e-04  0.092116
1554    84.0   14.0   13.0  2.011000e+03     3.0  11.0   2.0  0.0     1.0     1.0 -276.998919  287.951353  399.555231  146.321543   57491.538332    0.090080   57491.569683  2.885639e-02  -13.425083   7.824781   32.050854   35.619072  25.865166   2.323346 -30.235681  1.663666e-03  1.234399e+03  5.765528e-02  0.045052
1570   100.0   14.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0 -195.850273   46.130153  201.209643   86.145173   57406.846322    0.062153   57406.877399  4.394888e-02   -0.174656   0.152849    0.597592    0.641084  21.225247   8.242870 -41.190602  8.638790e-05  1.458737e+01  1.965690e-03  0.153803
1571   101.0   14.0    3.0  1.002000e+03     2.0   2.0   1.0  0.0     2.0     1.0  110.991026 -228.802777  254.302416  237.654543   57409.481466    0.059968   57409.508081  3.054630e-02   -0.288149   0.250068    0.925097    1.000703  22.412226   4.673327 -40.952799  1.771793e-05  3.276128e+01  5.800542e-04  0.088132
1578   108.0   14.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -148.979195 -408.407734  434.731730   55.612743   57416.408844    0.022434   57416.420061  1.586302e-02   -0.189064   0.183770    0.683706    0.732783  21.088322   9.333720 -44.186446  2.369336e-04  4.619731e+01  1.493716e-02  0.173826
1584   114.0   14.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0 -118.903051  -12.314005  119.538990  112.620473   57446.196214    0.009514   57446.200971  6.727709e-03   -0.732525   0.774555    2.491608    2.710100  23.164558  14.836046 -46.597502  2.136735e-04  4.028865e+02  3.176494e-02  0.278508
1598   128.0   14.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0  -69.982056 -461.227152  466.506135  171.005246   57487.098701    0.028744   57487.113073  2.032485e-02   -0.514378   0.314499    1.258906    1.395829  25.590310   1.046363 -31.442288  4.773241e-05  6.867936e+01  2.348591e-03  0.020248
1624   154.0   14.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0   12.320220  295.567446  295.824108  121.315136   57561.446486    0.058918   57561.475945  4.166120e-02   -0.227002   0.149581    0.570958    0.632374  25.460789  14.630275 -33.382526  4.296792e-05  1.517934e+01  1.031390e-03  0.279750
1627   157.0   14.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0   82.042230 -418.127321  426.100204  457.765893   57531.864148    0.439228   57532.083761  3.105808e-01   -0.088232   0.056493    0.222679    0.246105  25.196574   9.177726 -32.630633  1.174446e-06  7.924042e-01  3.781463e-06  0.176269
1633   163.0   14.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0   87.798448  184.092954  203.957798  532.415739   57556.815641    0.395238   57557.013260  2.794757e-01   -0.225673   0.148367    0.561203    0.622813  25.698961  13.477293 -33.322622  2.197129e-06  2.228512e+00  7.861639e-06  0.258644
1710    34.0   16.0    2.0  2.000000e+03     3.0   0.0   2.0  0.0     2.0     3.0  293.800941  274.415336  402.023344  206.349251   56447.739591    0.118920   56447.799051  8.408941e-02   -0.093168  -0.010604    0.404188    0.414944  13.061272   0.367407   6.493393  9.745043e-06  4.934617e+00  1.158904e-04  0.006583
1749    73.0   16.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0  160.905982 -181.997048  242.927274  432.921873   56508.853115    0.028668   56508.867449  2.027143e-02   -0.058441   0.001601    0.274965    0.281130  12.003393   3.105186  -1.569363  1.499992e-06  1.386899e+01  7.399900e-05  0.055380
1812     1.0   17.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0 -349.250984  324.332706  476.621395   76.843612   81502.982111    0.064732   81503.014477  4.577213e-02    0.297053   0.591113    3.459124    3.521817  10.827042   7.014532  63.319000  5.964187e-04  7.694407e+01  1.303046e-02  0.124334
