Shower	Energy	Zfirst	Theta	Phi	Particles
457	1000	3.44918e+06	0.438345	0.246957	24
458	1000	2.40846e+06	0.275994	1.98455	20
459	1000	2.09541e+06	0.378622	-1.37072	21
460	1000	1.06633e+06	0.270363	-2.79395	117
461	1000	1.75468e+06	0.415406	1.63632	126
462	1000	1.96964e+06	0.114938	1.09304	36
463	1000	2.25625e+06	0.209327	-1.62818	24
464	1000	1.6514e+06	0.113354	2.46304	110
465	1000	2.29344e+06	0.0545909	2.73056	76
466	1000	3.93283e+06	0.270489	-2.28594	8
467	1000	2.12334e+06	0.44816	2.66222	24
468	1000	1.66175e+06	0.384105	2.08347	77
469	1000	2.46421e+06	0.162478	0.38829	16
470	1000	1.3953e+06	0.445842	-1.58665	64
471	1000	1.71263e+06	0.412887	2.54524	38
472	1000	1.48339e+06	0.324859	-3.11165	63
473	1000	2.20455e+06	0.360847	3.08779	29
474	1000	1.93266e+06	0.328686	1.76244	380
475	1000	2.40099e+06	0.390838	-2.13345	75
476	1000	2.06318e+06	0.3685	-1.61952	34
477	1000	3.47431e+06	0.360788	-1.24974	10
478	1000	2.20249e+06	0.431076	1.87157	18
479	1000	1.61713e+06	0.288369	0.455528	31
480	1000	1.28383e+06	0.342957	2.00727	35
481	1000	2.14568e+06	0.124939	-0.4013	36
482	1000	1.69362e+06	0.148542	-2.20224	275
483	1000	1.60302e+06	0.133237	0.893025	83
484	1000	2.98479e+06	0.384451	2.44177	27
485	1000	993515	0.405511	-0.705783	74
486	1000	5.1852e+06	0.327262	2.97337	49
487	1000	1.48071e+06	0.1887	-1.40505	72
488	1000	4.85043e+06	0.182305	-0.364851	16
489	1000	1.94962e+06	0.242932	-1.241	55
490	1000	4.92772e+06	0.201961	0.574052	13
491	1000	1.58181e+06	0.305935	0.74404	312
492	1000	3.77744e+06	0.413709	-1.7163	21
493	1000	1.83483e+06	0.336435	2.85642	38
494	1000	2.0873e+06	0.254495	-0.84392	31
495	1000	1.49268e+06	0.384297	-0.679311	44
496	1000	1.752e+06	0.423776	0.832139	110
497	1000	1.6059e+06	0.411968	-1.78926	44
498	1000	2.60846e+06	0.349356	-2.15895	14
499	1000	3.36438e+06	0.182408	0.528052	47
500	1000	1.76339e+06	0.385518	-1.95087	25
501	1000	3.13798e+06	0.28028	-1.678	20
502	1000	897316	0.169708	-2.24754	217
503	1000	1.12678e+06	0.348457	2.36832	69
504	1000	1.39066e+06	0.270645	-1.62639	32
505	1000	1.67718e+06	0.220336	-2.85732	42
506	1000	2.30381e+06	0.13402	-1.70102	26
507	1000	1.06645e+06	0.342968	-2.93027	91
508	1000	5.82638e+06	0.351059	-1.3239	6
509	1000	1.52246e+06	0.187691	-2.0803	342
510	1000	1.1588e+06	0.248245	2.05845	121
511	1000	2.63119e+06	0.351395	2.42642	28
512	1000	2.13999e+06	0.428284	0.447373	28
513	1000	1.16881e+06	0.397653	0.337874	157
514	1000	3.01127e+06	0.414229	1.63575	21
515	1000	2.01969e+06	0.337049	-1.71216	42
516	1000	1.86669e+06	0.114014	-1.69408	71
517	1000	2.2389e+06	0.308997	-2.4208	39
518	1000	1.59533e+06	0.395227	-2.7094	33
519	1000	2.17456e+06	0.421171	0.38243	53
520	1000	2.42703e+06	0.447583	-2.21369	33
521	1000	2.36777e+06	0.425365	2.96196	119
522	1000	2.15131e+06	0.066443	2.12752	41
523	1000	1.52369e+06	0.0826844	-1.70262	61
524	1000	1.56529e+06	0.173185	-2.97358	45
525	1000	1.96891e+06	0.361945	2.49547	26
526	1000	1.60242e+06	0.131043	1.48933	52
527	1000	1.36075e+06	0.17394	-2.95689	73
528	1000	1.79305e+06	0.435477	2.86756	32
529	1000	1.77226e+06	0.326952	3.04297	31
530	1000	1.86007e+06	0.346358	2.52374	63
531	1000	3.49447e+06	0.215172	-0.283062	43
532	1000	2.22504e+06	0.150488	1.40535	35
533	1000	3.40992e+06	0.257999	1.75183	30
534	1000	2.02955e+06	0.400894	-0.154157	28
535	1000	1.25257e+06	0.234364	0.900572	49
536	1000	2.53795e+06	0.310133	1.06428	44
537	1000	2.06188e+06	0.350739	0.00627333	42
538	1000	2.85155e+06	0.301688	-2.75627	54
539	1000	3.28882e+06	0.23358	1.33027	33
540	1000	3.11398e+06	0.305001	-1.8609	25
541	1000	2.27192e+06	0.356414	-2.08416	29
542	1000	2.53977e+06	0.37523	-0.912686	26
543	1000	2.60107e+06	0.166938	-1.53794	39
544	1000	1.65128e+06	0.36836	-2.99335	57
545	1000	1.60197e+06	0.109734	-2.92446	36
546	1000	2.89733e+06	0.303656	3.08147	40
547	1000	2.07601e+06	0.313329	-1.67801	51
548	1000	2.2644e+06	0.198107	-2.33779	48
