N. sh	P. id	x (m)	y (m)	t (ns)	px (GeV/c)	py (GeV/c)	pz (GeV/c)	Psq (GeV)	ek (GeV)	zha (°)	aza (°)
244	5	695.379	235.032	87914.5	-0.204862	1.43963	4.80501	25.2026	4.91567	16.8373	98.0989
244	6	1618.5	-463.733	87175.2	-0.00464427	1.52995	5.01353	27.4762	5.13718	16.9704	90.1739
245	5	-280.638	-895.768	21906.7	0.337738	-0.0866072	0.831135	0.812353	0.80182	22.7583	-14.3826
246	3	-328.931	-46.644	47004.4	0.0438927	0.0947565	0.29008	0.0950517	0.307794	19.7989	65.1457
251	5	-642.525	-1536.88	97237.5	0.150218	-0.32099	2.03093	4.25027	1.95867	9.89855	-64.9212
253	6	2778.57	4199.08	83110.6	0.0515451	0.404527	0.826279	0.849037	0.821812	26.268	82.7385
262	5	-144.059	-133.786	89820.2	-0.0193115	-0.44404	1.06444	1.33058	1.05268	22.6631	-92.4902
262	6	587.662	-860.079	90728.8	0.436461	-3.30904	7.42014	66.1987	8.03129	24.219	-82.4861
264	1	200.533	-156.507	59935.7	0.0094299	-0.0152901	0.0546797	0.00331258	0.057555	18.1871	-58.3365
264	6	-225.274	431.896	59352.6	0.177362	-0.424949	2.29909	5.49785	2.24147	11.3257	-67.3457
264	6	-1756.19	965.541	58969	-0.0793734	-0.227591	1.33719	1.84618	1.25719	10.2181	-109.226
264	6	452.479	-1110.99	61055.8	0.114031	-0.18623	0.735644	0.588857	0.668951	16.5329	-58.5203
265	1	675.587	-483.051	37889.8	-0.0206831	-0.0161875	0.0616198	0.00448682	0.0669837	23.0855	-141.952
265	1	677.422	-481.765	37886.9	-0.0186626	-0.0145503	0.0566792	0.00377253	0.0614209	22.6612	-142.058
265	1	675.33	-481.408	37888.8	-0.058356	-0.0414104	0.168563	0.0335339	0.183123	23.0014	-144.64
265	3	677.416	-482.172	37887.3	-0.119159	-0.0922009	0.385809	0.171548	0.413673	21.3315	-142.269
265	2	677.416	-482.399	37887.4	-0.0949941	-0.0751656	0.295944	0.102257	0.319265	22.2602	-141.647
265	1	677.423	-482.513	37887.5	-0.136954	-0.110201	0.421035	0.208171	0.456258	22.661	-141.178
276	5	23.3124	-627.486	69393.1	3.38219	-0.89607	12.5866	170.664	12.9586	15.5352	-14.8389
278	6	370.48	1485.22	64146.9	-0.408033	-0.12988	1.53753	2.54737	1.49388	15.5626	-162.343
278	6	-28.6435	-1798.81	66639	-0.387542	-0.337497	1.35589	2.10253	1.3482	20.7574	-138.948
278	5	219.555	-1671.31	66273.5	-0.589207	-0.768606	2.47482	7.06266	2.55401	21.3717	-127.473
281	5	104.16	-375.308	59256.3	0.344745	0.247735	1.05212	1.28718	1.03379	21.9739	35.7012
285	5	830.23	-66.7096	58058.6	-0.158917	-0.098211	2.27531	5.21194	2.17975	4.69376	-148.284
287	14	373.244	1948.18	99607.8	-0.240234	0.479601	1.19892	1.72513	0.675881	24.1041	116.606
289	1	-2951.71	1430.54	79787.3	-0.0464807	0.0685507	0.501571	0.258433	0.508363	9.37649	124.139
292	13	24.4448	-10.1487	76483	5.68919	0.523286	11.569	166.483	11.9974	26.2819	5.25522
294	5	149.681	-422.178	35738.7	0.48832	-2.59017	4.97397	31.6878	5.52453	27.92	-79.3235
294	6	594.857	-804.124	36504.4	0.853573	-3.14058	5.62678	42.2524	6.39539	30.045	-74.795
294	6	795.901	100.231	35277	0.347451	-0.77048	1.75116	3.78091	1.84167	25.7644	-65.7268
294	5	-327.174	250.729	34747.4	-0.00894518	-0.363063	0.939509	1.01457	0.907128	21.1343	-91.4114
294	13	-941.303	-1203.32	42054.6	-0.10396	-0.492593	0.75032	0.816435	0.363975	33.8605	-101.917
294	6	864.393	-362.029	35947.2	0.276818	-0.87738	1.78422	4.02985	1.90457	27.2774	-72.4892
294	5	-1252.22	20.9631	35007.4	-0.17788	-1.97063	4.25401	22.0116	4.58718	24.9442	-95.1579
297	6	2856.93	866.812	80068.2	0.194364	0.0409268	0.628955	0.435037	0.562324	17.5263	11.8909
297	14	1742.15	635.862	80746	0.060648	0.0301264	1.40159	1.96903	0.74974	2.76613	26.4155
297	1	71.8128	-546.177	78961.1	0.00120107	-0.00937803	0.0643217	0.00422668	0.0650129	8.362	-82.7017
297	1	71.1176	-545.813	78960.9	0.00774614	-0.0694568	0.481466	0.236694	0.486512	8.25911	-83.6364
297	1	71.0794	-545.971	78960.9	0.00731731	-0.067619	0.463506	0.219463	0.468469	8.34787	-83.8238
297	1	71.0906	-545.929	78960.9	0.0182512	-0.167162	1.14657	1.34289	1.15883	8.34352	-83.769
297	2	71.1175	-545.978	78961	0.0250524	-0.212268	1.40777	2.02749	1.42339	8.63328	-83.2689
297	6	10.3706	-35.3867	78787.3	0.0114565	-0.151223	2.08818	4.38352	1.99069	4.15385	-85.6676
301	2	163.55	-326.218	47370	-0.0128869	0.0107948	0.0777249	0.00632376	0.0790127	12.2042	140.048
301	3	174.446	-301.975	47384.6	-6.3516e-05	0.0166478	0.0515311	0.00293261	0.053645	17.9039	90.2186
301	13	-979.079	129.551	52894.8	-0.436328	0.203121	0.919948	1.07794	0.460694	27.6173	155.037
310	5	118.412	21.2891	38711.7	-0.0225625	-1.01476	2.53935	7.47856	2.63108	21.7872	-91.2737
311	5	714.121	70.3069	49357.3	0.387817	-0.46717	1.68939	3.22268	1.69263	19.7684	-50.3025
314	6	1216.43	3908.81	73372.2	-0.129911	-0.256953	1.68413	2.9192	1.60617	9.70175	-116.82
317	6	1531.9	3285.33	57685.7	-0.0904186	0.256605	1.22666	1.57872	1.15525	12.5056	109.411
320	6	679.872	3711.21	113568	-0.301327	1.98724	3.09924	13.6452	3.5898	32.9647	98.6221
322	5	-1038.9	-3430.45	43784.2	-0.0814571	-0.353062	0.339709	0.24669	0.402135	46.8461	-102.992
323	5	-997.559	783.646	39679	-0.410351	-1.22133	4.36727	20.7331	4.44893	16.4371	-108.572
324	6	629.305	613.098	96228.6	-0.198177	-0.707527	3.67277	14.0291	3.64138	11.313	-105.647
324	1	1045.11	946.447	96212.2	0.148409	0.00165253	0.586395	0.365887	0.604886	14.2035	0.63796
324	1	1061.36	853.067	96253.7	0.242739	-0.15894	0.848206	0.803638	0.896459	18.8842	-33.2159
324	6	746.685	1161.7	96476.4	-0.105802	0.126362	0.299952	0.117132	0.252526	28.7864	129.939
324	13	968.948	628.513	96821.1	0.12477	-0.821298	1.27378	2.31262	0.848004	33.1111	-81.3618
324	13	804.721	889.57	96716.4	-0.260976	-0.1247	1.10323	1.30077	0.538121	14.6908	-154.46
324	5	-582.537	-642.984	96933.7	-0.0460243	-0.317569	1.48744	2.31543	1.41966	12.1739	-98.2463
324	6	206.909	-82.0985	96498.5	-0.0648613	-0.498768	3.28266	11.0288	3.21699	8.71108	-97.4093
