NShow	Energy	ZFInt	ZhAng	AzAng	NParticles
1739	35.488	17.6525	23.3357	-43.4556	1
1741	24.3334	13.1806	13.8585	-34.9807	2
1747	46.0274	10.0113	24.6328	112.949	3
1748	29.8674	24.4067	24.328	-89.0427	2
1754	55.1006	37.7528	15.4045	-109.941	1
1757	17.3526	20.1527	7.9337	111.003	1
1761	17.8932	23.1042	16.6302	-20.5648	1
1766	25.9185	13.8588	6.36522	-153.711	1
1773	30.6303	13.7501	19.5066	98.3034	1
1777	23.562	27.08	18.9819	31.1648	2
1782	13.1425	19.0905	15.641	39.3246	1
1784	19.9933	9.79724	11.7955	-108.855	1
1796	11.4668	16.2846	15.9304	-135.926	1
1801	15.9754	34.4128	13.2021	151.61	1
1807	38.9384	37.8824	9.3522	80.7193	1
1810	14.6214	18.486	24.7112	138.642	1
1814	20.2929	23.4026	11.2312	-136.812	1
1817	19.5841	13.0369	22.6944	-133.179	1
1820	10.2449	36.6086	23.31	-129.943	1
1824	157.006	6.77051	18.4775	-93.885	11
1832	72.5083	17.0397	25.4736	61.4546	2
1834	21.7525	20.3506	25.0009	51.5721	2
1840	31.205	15.0616	21.3539	132.479	1
1842	21.5406	9.39714	24.5084	57.9481	1
1843	10.1651	13.5966	10.4475	-106.783	1
1844	32.9499	11.9657	7.65303	156.442	4
1846	26.5303	18.4511	18.9699	-154.511	1
1847	10.3871	21.4912	19.5393	12.156	1
1854	39.9797	19.3203	21.836	176.793	1
1856	55.6588	39.0143	10.5938	176.66	13
1857	10.2095	16.9934	8.49853	-5.29795	1
1863	17.9395	19.6479	22.8033	-139.049	2
1866	31.4154	33.4627	19.8366	-98.3513	1
1867	24.1465	14.8397	9.31906	-142.064	1
1869	22.4445	26.2473	18.596	71.5507	1
1871	38.9222	21.5605	7.66658	-93.9583	1
1873	26.0521	16.0751	23.4619	-92.81	1
1875	54.6337	18.6377	12.004	47.2146	3
1876	116.99	22.0366	20.9336	76.7545	2
1877	18.7679	26.4386	14.9485	92.1542	1
1879	36.0617	16.4829	20.8285	59.3126	1
1882	10.4879	33.4996	21.8329	-8.64156	1
1883	39.2549	19.6807	14.9967	29.0434	2
1884	141.061	20.919	24.1648	-103.069	6
1886	114.029	20.2144	18.552	-26.0053	1
1887	14.533	21.2303	14.6158	118.403	1
1890	29.5415	33.0525	17.8448	-171.72	1
1892	36.1223	21.634	24.1731	79.6496	4
1893	13.3726	19.8444	15.9081	-20.2061	1
1898	10.2646	16.7421	18.152	-168.212	1
1899	45.6395	30.113	18.9507	35.6474	1
1904	25.3775	13.1871	9.29744	-150.825	1
1917	24.2958	16.0179	8.23321	45.3419	1
1922	39.5702	15.9275	9.47876	84.624	1
1927	25.4149	13.545	15.8033	-158.493	1
1928	12.0409	20.6504	7.98272	86.3056	1
1932	36.9356	17.3081	18.7591	-37.2102	10
1940	427.882	10.8222	24.3898	-63.7999	16
1945	26.1519	19.6649	12.4836	31.5503	1
1948	17.3953	21.3511	22.3021	141.002	1
1955	18.2101	14.452	10.8196	-58.2842	1
1959	11.9622	14.6527	9.49429	-73.4224	1
1960	17.5305	14.4395	20.1591	56.1193	1
1962	30.591	13.8512	11.7807	74.5512	1
1970	29.6931	22.0241	8.73684	119.689	1
1973	153.076	16.0921	25.3493	68.0627	3
1975	21.8325	27.1446	20.6956	12.0429	1
1977	144.959	23.3928	25.4618	149.096	3
1979	140.438	27.7905	4.81923	71.5136	4
1985	13.597	12.3019	19.3364	162.97	1
1988	16.5812	17.8361	23.5596	-75.2488	1
1990	30.0889	8.98326	24.1391	-121.122	1
2000	55.0706	19.1336	23.266	-153.245	1
2006	16.273	17.0614	12.1239	-173.197	1
2018	18.299	12.7929	16.1907	-32.969	1
2022	13.6638	25.7385	23.6833	-150.935	2
2027	19.1	23.0568	24.3956	79.4553	1
2028	31.1171	13.8642	7.16308	29.8645	1
2031	84.0856	14.1232	19.7466	-21.0132	3
2033	66.9364	14.281	23.3401	-118.857	4
2035	12.8225	22.7481	15.067	32.5504	1
2039	25.8932	18.4207	3.68018	120.95	1
2040	17.5803	18.5235	20.3451	-25.8839	1
2047	15.0485	13.021	14.0426	-39.1532	1
2049	138.883	25.2226	18.5296	60.9892	1
2053	69.1455	21.5744	13.6756	74.2624	2
2055	112.69	20.7777	10.8277	-75.5086	4
2059	139.933	26.0625	23.4497	110.457	1
2060	34.0533	23.883	14.1485	-168.221	1
2064	29.9079	16.7617	12.8725	-98.2475	3
2070	49.4775	17.8668	23.3007	111.535	1
2071	19.6271	30.2614	11.4577	-126.95	1
2072	25.9299	26.673	25.2824	141.795	1
2075	50.2379	29.8496	16.0225	84.6098	1
2076	12.5485	17.0866	17.6236	-96.0549	1
2077	91.4032	19.8991	13.4909	-19.0532	5
2082	331.45	15.7115	20.1198	5.20254	5
2085	56.4662	18.8062	21.389	-155.97	2
2088	39.5554	12.2836	20.6835	-126.822	1
2090	90.376	16.5889	7.76856	-2.31551	1
2099	67.8886	36.9596	22.1889	-140.535	1
2102	46.7152	25.0254	25.0178	28.1538	1
2103	22.4866	29.2114	20.0872	19.7355	1
2104	37.1232	18.7503	13.6003	-98.3854	1
2110	23.0002	20.8643	18.1972	-43.9034	1
2116	68.5308	15.8537	2.96853	97.2656	5
2122	24.8435	32.063	21.0755	158.24	1
2129	70.7652	36.0489	22.0522	144.629	1
2135	17.507	24.9239	21.2116	-20.0546	1
2146	29.7559	30.7378	14.528	103.035	3
2153	48.7401	12.1604	10.7129	170.946	3
2160	55.346	29.0337	17.4542	-113.624	4
2166	18.0897	18.591	5.27553	48.1804	2
2167	12.4778	25.2282	18.5508	-80.1802	1
2174	71.5953	17.6263	21.5244	-165.488	3
2175	42.0959	10.8896	17.3014	-58.1697	2
2178	11.1249	39.1061	14.5041	175.215	1
2179	39.5404	24.3123	8.49769	145.479	1
2184	24.1496	8.37535	10.9768	130.834	1
2185	54.6526	14.2498	21.9095	-94.8148	2
2188	37.1998	22.9256	17.6331	-138.839	1
2207	28.8357	48.9925	21.03	-61.837	1
2215	43.1717	12.6536	21.7196	-51.6205	2
2216	25.4489	24.2493	22.9563	80.7562	1
2219	55.5029	15.4453	12.1673	-102.267	2
2221	20.969	16.3679	22.2118	55.9129	1
2222	48.5583	16.226	15.3208	-147.629	2
2223	13.1297	18.2122	1.88324	-99.1375	1
2225	377.73	15.5159	23.0545	155.643	7
2226	13.1789	19.3296	20.8659	154.353	1
2229	35.9104	15.7847	18.6172	-165.194	1
2232	24.7711	15.625	16.0593	81.621	1
2236	15.3348	11.4577	20.7278	174.53	5
2242	24.6056	21.2086	21.0495	84.7049	1
2245	30.3225	8.38451	9.63296	77.9725	3
2246	47.2992	24.0532	22.6073	132.618	1
2249	51.057	24.9379	16.2685	-103.448	3
2250	14.7031	13.3227	19.1778	-178.472	1
2258	72.3909	21.8567	25.1979	93.537	3
2262	125.592	22.2439	19.3437	166.393	5
2271	11.0426	31.4927	19.0669	25.527	1
2281	22.9937	16.5667	2.41693	-57.4383	1
2282	22.4755	15.2539	19.0381	159.673	1
2286	11.5874	12.4609	17.1158	164.37	1
2290	17.6613	20.304	21.3916	156.702	2
2291	44.0466	16.4375	21.753	-44.9008	1
2292	91.2669	35.0115	16.1374	-24.0307	2
2294	23.1213	17.5128	18.9898	-50.9953	1
2296	20.7359	17.1674	13.2151	-11.472	1
2297	41.7602	25.9283	25.3322	121.852	1
2308	29.1365	20.802	12.7435	176.553	1
2309	15.576	23.8938	10.6617	-76.0813	1
2310	30.7761	25.1389	19.3353	6.45194	1
2314	25.6476	19.3631	21.5108	-64.6924	1
2318	15.5564	12.0401	19.5556	37.5777	1
2321	81.7746	21.3353	17.7456	-77.4357	2
2325	11.6758	13.4654	14.5635	-24.268	1
2327	29.7597	16.7402	15.6173	-176.1	2
2330	11.9978	12.1632	23.457	67.1338	1
2333	26.8301	22.0697	21.622	-61.0868	1
2337	72.3966	13.1175	10.4833	151.553	2
2343	12.0142	31.2475	24.376	-164.924	1
2345	71.204	26.8138	8.36482	-115.196	2
2348	29.8117	22.6339	25.6512	134.72	1
2351	15.5282	21.8985	15.0961	170.7	1
2356	27.864	25.3371	20.0393	85.3523	1
2368	13.8364	24.6517	24.8899	104.284	1
